"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1013.9","1016.7","1021.4","2022-01-01 09:17","1005.8","2022-01-29 14:47","21.3","26.7","2022-01-23 11:00","14.4","2022-01-13 02:15","16.9","3.8","40","22.5","140","2022-01-07 00:52","173.0","60.2","8","9.5","2022-01-06 00:55","21.0","2022-01-22 08:01","55.5","2022-01-22 00:00","77","87.3","120.9","359.78","...","...","...","6.7"
"02","1014.0","1016.9","1020.8","2022-02-25 09:14","1007.5","2022-02-13 16:00","21.3","27.4","2022-02-13 12:49","15.7","2022-02-16 06:56","16.3","4.1","40","30.3","40","2022-02-20 11:43","17.0","13.7","5","5.0","2022-02-08 00:09","8.0","2022-02-08 00:01","8.0","2022-02-08 00:00","74","102.7","143.5","399.54","...","...","...","5.7"
"03","1010.8","1013.6","1015.9","2022-03-01 09:31","1003.1","2022-03-18 03:47","24.2","31.3","2022-03-22 13:05","16.3","2022-03-08 04:35","19.4","3.1","100","20.4","360","2022-03-29 10:36","12.5","13.8","2","2.5","2022-03-23 15:13","4.5","2022-03-23 15:13","7.5","2022-03-23 00:00","75","142.6","183.7","559.89","...","...","...","5.5"
"04","1010.3","1013.1","1019.2","2022-04-04 22:02","1001.9","2022-04-13 15:16","25.2","32.6","2022-04-29 12:44","20.2","2022-04-02 03:19","20.4","3.6","40","24.4","80","2022-04-04 10:55","12.5","10.7","6","2.5","2022-04-14 20:53","6.5","2022-04-14 20:53","8.0","2022-04-14 00:00","75","167.8","189.7","617.02","...","...","...","5.2"
"05","1008.2","1011.0","1012.2","2022-05-03 21:31","1003.4","2022-05-13 16:53","26.1","32.3","2022-05-09 12:11","20.3","2022-05-02 22:16","21.9","2.9","40","21.9","40","2022-05-02 01:44","44.5","23.4","9","9.0","2022-05-14 13:55","9.5","2022-05-14 13:55","13.5","2022-05-16 00:00","78","74.2","46.4","275.26","7","11","2022-05-01 13:00","8.0"
"06","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
