"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.8","1018.2","1026.6","2020-01-01 09:30","1008.5","2020-01-26 15:28","20.9","29.0","2020-01-23 12:07","11.7","2020-01-31 06:39","15.1","2.5","350","14.7","360","2020-01-26 18:58","26.5","22.8","4","3.5","2020-01-26 09:00","9.0","2020-01-26 08:30","18.0","2020-01-26 00:00","70","95.1","228.0","488.08","...","...","...","3.0"
"02","1019.7","1020.1","1027.3","2020-02-21 09:20","1011.3","2020-02-15 15:46","21.8","29.9","2020-02-25 13:36","13.0","2020-02-17 08:18","15.7","2.3","350","12.2","180","2020-02-15 15:00","0.5","1.7","1","0.5","2020-02-17 06:43","0.5","2020-02-17 05:53","0.5","2020-02-17 00:00","69","112.2","218.7","525.74","...","...","...","3.5"
"03","1014.6","1015.0","1021.3","2020-03-16 08:36","1007.0","2020-03-09 14:50","24.7","32.0","2020-03-26 11:34","18.1","2020-03-15 06:14","19.0","2.2","310","11.4","170","2020-03-26 15:33","29.0","4.3","3","8.5","2020-03-10 10:02","19.0","2020-03-10 09:44","19.0","2020-03-10 00:00","71","141.9","227.8","605.87","...","...","...","3.9"
"04","1014.9","1015.3","1019.8","2020-04-02 10:28","1010.5","2020-04-21 14:47","25.0","31.0","2020-04-19 12:06","17.1","2020-04-13 05:17","18.7","2.5","290","13.3","360","2020-04-12 21:02","34.5","9.9","2","2.5","2020-04-06 22:47","8.0","2020-04-07 01:30","22.0","2020-04-07 00:00","69","147.8","218.3","644.55","...","...","...","4.6"
"05","1009.1","1009.5","1014.1","2020-05-01 08:21","1001.9","2020-05-17 16:28","28.6","34.5","2020-05-16 13:25","23.3","2020-05-20 13:19","24.5","2.1","290","15.1","280","2020-05-22 15:36","748.0","64.7","9","13.5","2020-05-22 16:04","47.5","2020-05-27 06:27","288.0","2020-05-27 00:00","79","147.7","221.0","650.29","...","...","...","5.4"
"06","1008.9","1009.2","1014.6","2020-06-14 22:25","1003.5","2020-06-12 16:48","30.3","35.9","2020-06-12 14:06","25.2","2020-06-08 14:59","25.4","2.2","160","16.9","180","2020-06-29 04:01","163.0","11.6","6","19.0","2020-06-06 12:45","53.5","2020-06-29 03:40","72.0","2020-06-29 00:00","75","169.2","287.6","774.75","...","...","...","4.9"
"07","1008.3","1008.6","1012.3","2020-07-03 22:10","1003.9","2020-07-15 03:27","30.5","34.5","2020-07-23 13:37","25.3","2020-07-28 18:08","25.9","1.8","290","10.2","310","2020-07-16 12:36","146.5","23.5","14","13.5","2020-07-15 09:59","44.0","2020-07-15 09:34","95.0","2020-07-15 00:00","76","173.6","244.2","705.23","...","...","...","5.7"
"08","1007.1","1007.5","1014.6","2020-08-12 21:58","1001.4","2020-08-31 14:37","29.1","34.9","2020-08-10 11:22","24.5","2020-08-14 22:51","25.6","2.1","160","19.2","160","2020-08-27 17:28","915.0","81.3","22","22.5","2020-08-14 21:44","75.5","2020-08-26 10:34","295.0","2020-08-26 00:00","82","123.1","182.5","567.13","...","...","...","6.5"
"09","1008.9","1009.2","1014.2","2020-09-18 21:47","1001.0","2020-09-01 03:54","29.7","35.0","2020-09-06 13:50","24.4","2020-09-07 05:16","24.6","2.0","310","13.0","320","2020-09-01 13:38","27.5","4.5","6","6.5","2020-09-19 18:50","15.0","2020-09-19 17:53","19.5","2020-09-19 00:00","75","167.9","263.3","680.53","...","...","...","4.2"
