"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)","station"
"01","1018.6","1019.0","1027.3","2010-01-14 08:35","1012.3","2010-01-04 14:51","19.9","28.6","2010-01-31 13:13","10.9","2010-01-13 03:22","14.5","1.9","350","11.6","330","2010-01-25 14:49","1.5","3.4","2","0.5","2010-01-08 11:05","0.5","2010-01-08 10:40","1.0","2010-01-03 00:00","72","83.7","199.8","373.24","...","...","...","3.5","kaohsiung"
"02","1015.5","1015.9","1021.5","2010-02-18 11:24","1009.8","2010-02-26 14:59","21.5","30.5","2010-02-11 14:21","12.0","2010-02-19 05:18","16.7","1.9","350","11.2","300","2010-02-07 14:23","10.5","11.0","3","2.0","2010-02-16 00:05","2.5","2010-02-19 12:40","4.0","2010-02-19 00:00","74","81.6","184.3","350.56","...","...","...","4.5","kaohsiung"
"03","1015.6","1016.0","1025.0","2010-03-10 09:17","1007.6","2010-03-23 15:41","23.7","31.9","2010-03-14 13:11","12.7","2010-03-10 07:54","17.7","1.8","310","12.9","340","2010-03-25 11:24","1.0","1.4","1","1.0","2010-03-09 13:26","1.0","2010-03-09 13:26","1.0","2010-03-09 00:00","69","119.7","226.6","485.86","...","...","...","4.1","kaohsiung"
"04","1013.7","1014.1","1020.0","2010-04-17 10:27","1007.5","2010-04-11 15:49","24.9","32.9","2010-04-21 13:35","17.4","2010-04-16 04:08","19.8","2.1","310","11.8","130","2010-04-11 11:05","48.0","25.1","7","3.5","2010-04-23 09:06","8.0","2010-04-23 08:24","19.5","2010-04-23 00:00","74","114.4","187.6","459.54","...","...","...","5.5","kaohsiung"
"05","1008.8","1009.2","1016.5","2010-05-01 09:33","1002.2","2010-05-23 13:28","27.8","33.3","2010-05-27 12:10","21.2","2010-05-01 03:47","22.8","2.1","310","18.0","270","2010-05-23 13:49","188.0","38.3","7","14.5","2010-05-23 13:22","41.0","2010-05-23 13:22","88.5","2010-05-30 00:00","75","142.4","238.6","592.30","...","...","...","5.2","kaohsiung"
"06","1008.4","1008.8","1011.2","2010-06-22 22:02","1003.0","2010-06-25 04:34","28.3","33.2","2010-06-30 12:58","23.8","2010-06-04 01:48","24.2","1.8","170","14.4","340","2010-06-15 14:16","257.0","44.1","11","11.5","2010-06-13 18:26","21.0","2010-06-11 09:21","62.0","2010-06-13 00:00","79","120.8","186.1","518.64","...","...","...","6.3","kaohsiung"
"07","1009.0","1009.3","1012.6","2010-07-17 21:58","1005.5","2010-07-25 16:16","29.5","35.9","2010-07-15 14:36","24.2","2010-07-27 07:20","24.6","2.0","310","14.7","230","2010-07-27 07:11","437.0","64.8","10","20.0","2010-07-28 08:02","52.0","2010-07-27 01:47","129.0","2010-07-27 00:00","76","152.3","230.5","568.99","...","...","...","5.6","kaohsiung"
"08","1007.9","1008.2","1014.2","2010-08-19 08:50","999.7","2010-08-31 22:46","29.4","34.4","2010-08-01 12:23","25.3","2010-08-26 04:29","25.0","1.8","290","13.7","160","2010-08-31 23:53","164.7","36.0","17","9.5","2010-08-10 12:04","26.0","2010-08-10 11:26","67.0","2010-08-10 00:00","78","140.3","216.4","546.12","...","...","...","5.4","kaohsiung"
"09","1008.6","1009.0","1014.6","2010-09-26 09:52","989.0","2010-09-19 14:47","28.3","34.8","2010-09-03 13:49","23.0","2010-09-20 06:13","24.5","2.8","160","29.5","210","2010-09-19 16:29","853.0","102.3","12","14.5","2010-09-19 15:44","53.5","2010-09-19 18:50","426.5","2010-09-19 00:00","80","104.8","169.8","422.15","...","...","...","5.7","kaohsiung"
"10","1010.3","1010.7","1019.0","2010-10-31 08:33","997.9","2010-10-22 05:18","27.0","32.5","2010-10-12 11:47","19.0","2010-10-31 05:35","22.4","1.9","350","20.3","150","2010-10-22 15:08","175.5","38.6","9","15.0","2010-10-07 18:32","42.0","2010-10-08 15:01","71.5","2010-10-08 00:00","76","102.6","177.4","402.85","...","...","...","5.2","kaohsiung"
"11","1014.8","1015.2","1019.5","2010-11-10 09:00","1007.3","2010-11-22 14:08","23.7","29.5","2010-11-22 12:31","18.8","2010-11-26 04:57","18.8","1.9","350","9.1","30","2010-11-25 05:08","13.0","16.5","2","1.0","2010-11-13 15:55","3.0","2010-11-13 16:40","12.5","2010-11-13 00:00","74","84.3","172.8","349.66","...","...","...","4.9","kaohsiung"
"12","1014.3","1014.7","1019.5","2010-12-18 08:43","1009.0","2010-12-13 14:50","20.9","29.5","2010-12-06 13:27","11.3","2010-12-27 05:48","14.3","2.0","350","16.6","350","2010-12-26 06:12","11.5","8.7","1","1.5","2010-12-16 12:45","3.0","2010-12-16 12:28","11.5","2010-12-16 00:00","67","96.7","188.5","342.98","...","...","...","4.1","kaohsiung"
"01","1018.4","1018.8","1024.9","2011-01-30 09:25","1011.7","2011-01-14 15:24","17.5","25.0","2011-01-19 14:11","11.3","2011-01-16 03:40","12.3","2.4","350","13.9","340","2011-01-15 07:51","7.7","19.8","5","0.5","2011-01-21 10:33","1.5","2011-01-11 21:10","4.5","2011-01-11 00:00","72","70.9","130.2","320.41","...","...","...","6.3","kaohsiung"
"02","1015.3","1015.7","1022.3","2011-02-01 08:04","1005.6","2011-02-08 15:29","20.1","29.5","2011-02-28 13:54","11.8","2011-02-15 01:23","14.8","2.1","350","10.6","350","2011-02-13 21:55","3.5","4.4","2","0.5","2011-02-14 02:02","1.5","2011-02-14 09:37","2.5","2011-02-14 00:00","72","85.6","212.8","421.79","...","...","...","2.9","kaohsiung"
"03","1017.1","1017.5","1022.8","2011-03-17 09:54","1009.9","2011-03-20 14:54","21.4","30.2","2011-03-20 13:16","13.8","2011-03-28 03:58","15.2","2.0","350","10.6","340","2011-03-07 08:00","8.0","8.4","4","0.6","2011-03-28 00:15","1.8","2011-03-28 00:05","6.0","2011-03-28 00:00","68","111.6","140.2","426.13","...","...","...","6.5","kaohsiung"
"04","1013.6","1014.0","1020.2","2011-04-10 09:00","1006.3","2011-04-18 02:29","24.6","31.0","2011-04-30 13:15","17.7","2011-04-05 02:44","18.4","1.9","310","12.4","290","2011-04-08 13:35","29.5","6.3","3","7.5","2011-04-17 23:03","19.5","2011-04-17 22:22","23.5","2011-04-17 00:00","69","123.1","195.3","521.90","...","...","...","5.1","kaohsiung"
"05","1009.0","1009.4","1015.3","2011-05-15 10:20","997.3","2011-05-28 03:24","27.2","32.9","2011-05-08 11:12","21.2","2011-05-17 18:12","22.3","1.9","320","13.9","320","2011-05-10 14:13","106.0","40.8","7","5.0","2011-05-23 13:10","10.5","2011-05-17 10:42","56.0","2011-05-17 00:00","75","123.4","186.8","507.82","...","...","...","5.2","kaohsiung"
"06","1006.9","1007.3","1011.5","2011-06-05 11:20","993.6","2011-06-24 17:16","29.3","35.8","2011-06-09 12:52","23.5","2011-06-28 08:05","24.5","2.5","150","14.9","150","2011-06-09 19:33","392.0","48.6","9","20.0","2011-06-27 20:27","72.0","2011-06-27 20:01","181.5","2011-06-28 00:00","76","154.6","240.9","572.54","...","...","...","5.3","kaohsiung"
"07","1005.9","1006.3","1011.4","2011-07-01 08:00","998.9","2011-07-18 16:40","28.7","33.9","2011-07-27 14:13","24.5","2011-07-16 20:38","24.7","2.0","310","14.4","220","2011-07-20 04:49","543.0","85.0","14","19.0","2011-07-10 02:12","50.5","2011-07-10 02:01","106.5","2011-07-20 00:00","80","145.1","211.9","541.40","...","...","...","5.9","kaohsiung"
