"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.9","1020.2","1016.3","2014-01-18 21:03","1001.9","2014-01-03 15:07","16.4","26.4","2014-01-03 14:25","7.2","2014-01-23 05:26","9.7","1.5","10","13.2","360","2014-01-18 16:19","2.0","3.1","1","0.5","2014-01-03 05:37","0.9","2014-01-03 05:00","2.0","2014-01-03 00:00","66","71.8","236.9","441.67","...","...","...","2.8"
"02","1006.9","1017.1","1016.3","2014-02-21 08:24","997.6","2014-02-02 14:44","17.0","29.1","2014-02-03 13:13","6.7","2014-02-21 05:56","12.0","1.5","350","11.5","360","2014-02-20 16:51","45.2","38.5","12","3.7","2014-02-08 22:40","5.0","2014-02-09 01:24","14.5","2014-02-09 00:00","74","65.7","137.9","367.90","...","...","...","6.3"
"03","1007.0","1017.1","1013.6","2014-03-16 09:21","997.9","2014-03-31 16:34","19.8","31.8","2014-03-29 12:21","13.4","2014-03-09 03:54","14.5","1.3","350","10.9","350","2014-03-20 19:40","57.5","32.0","13","6.5","2014-03-13 07:25","11.5","2014-03-12 20:12","15.4","2014-03-12 00:00","72","80.0","108.6","387.20","...","...","...","7.7"
"04","1003.4","1013.3","1009.5","2014-04-07 08:43","999.2","2014-04-01 14:37","24.1","32.5","2014-04-27 13:13","17.1","2014-04-05 04:42","17.8","1.3","350","11.3","360","2014-04-22 16:08","15.6","14.1","8","1.6","2014-04-30 23:47","3.8","2014-04-30 23:00","7.7","2014-04-30 00:00","69","111.3","143.6","435.17","...","...","...","6.7"
"05","1000.9","1010.7","1007.4","2014-05-06 09:10","995.5","2014-05-27 16:36","25.8","33.7","2014-05-12 12:00","16.5","2014-05-06 04:08","21.5","1.1","210","12.5","30","2014-05-15 20:42","659.6","127.8","22","19.0","2014-05-15 20:51","86.0","2014-05-15 20:50","220.4","2014-05-15 00:00","78","73.5","75.8","343.88","...","...","...","8.3"
"06","995.4","1005.1","1001.4","2014-06-30 20:44","988.5","2014-06-10 15:51","28.6","34.9","2014-06-22 13:37","23.0","2014-06-06 04:42","23.4","1.6","200","11.4","200","2014-06-21 13:04","181.0","44.3","15","18.0","2014-06-05 16:32","47.5","2014-06-05 15:50","63.2","2014-06-06 00:00","74","114.0","152.1","482.42","...","...","...","6.5"
"07","995.9","1005.5","1002.5","2014-07-26 22:48","970.6","2014-07-23 02:04","30.1","36.4","2014-07-17 14:37","23.9","2014-07-23 06:41","24.0","1.6","330","22.2","170","2014-07-23 10:04","149.1","37.9","10","10.0","2014-07-25 19:33","22.0","2014-07-23 03:17","90.3","2014-07-23 00:00","71","142.8","207.0","540.78","...","...","...","5.6"
"08","998.1","1007.8","1005.0","2014-08-28 00:01","987.7","2014-08-01 15:54","28.9","35.1","2014-08-01 14:26","23.6","2014-08-31 05:53","24.1","1.4","180","11.6","160","2014-08-18 15:58","278.3","45.5","12","13.0","2014-08-08 19:29","55.6","2014-08-03 22:58","57.5","2014-08-30 00:00","76","120.9","172.9","496.54","8","10","2014-08-10 12:00","6.6"
"09","998.8","1008.5","1005.0","2014-09-27 07:52","985.5","2014-09-21 14:17","29.2","36.5","2014-09-15 13:56","23.7","2014-09-22 04:00","24.0","1.2","340","10.3","250","2014-09-22 01:25","47.0","15.7","8","7.8","2014-09-23 18:35","9.5","2014-09-22 01:08","16.6","2014-09-22 00:00","74","117.7","183.6","458.33","...","...","...","5.0"
