"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)","station"
"01","1009.9","1020.1","1018.2","2010-01-14 08:33","1003.5","2010-01-04 14:20","17.1","27.6","2010-01-29 14:15","6.8","2010-01-13 03:52","12.4","1.3","10","12.9","30","2010-01-12 13:02","34.1","37.8","9","1.0","2010-01-25 11:33","3.6","2010-01-25 11:04","8.7","2010-01-08 00:00","75","62.8","153.8","345.45","...","...","...","5.6","taichung"
"02","1006.8","1016.9","1013.1","2010-02-18 22:32","999.4","2010-02-26 15:23","18.5","31.4","2010-02-10 12:55","9.5","2010-02-19 02:58","14.7","1.4","10","10.3","20","2010-02-16 06:06","118.3","76.3","11","5.2","2010-02-12 11:35","6.1","2010-02-12 11:25","31.4","2010-02-19 00:00","80","54.8","118.4","299.13","...","...","...","6.7","taichung"
"03","1006.9","1016.9","1016.6","2010-03-10 09:06","998.2","2010-03-23 15:36","21.1","31.4","2010-03-15 13:07","9.5","2010-03-10 06:08","15.6","1.5","360","13.9","30","2010-03-09 16:51","22.6","15.3","4","3.5","2010-03-13 02:16","4.8","2010-03-13 02:16","7.6","2010-03-09 00:00","72","88.9","176.8","478.60","...","...","...","5.7","taichung"
"04","1004.9","1014.8","1010.9","2010-04-17 10:42","997.5","2010-04-11 15:16","22.0","32.4","2010-04-22 12:56","14.1","2010-04-16 01:02","17.8","1.3","360","10.9","20","2010-04-23 08:49","158.4","63.0","16","5.0","2010-04-05 12:32","16.0","2010-04-23 10:22","44.3","2010-04-23 00:00","78","81.3","127.8","429.28","...","...","...","7.2","taichung"
"05","999.4","1009.2","1007.2","2010-05-01 08:15","991.6","2010-05-23 04:07","26.6","34.2","2010-05-22 14:43","19.5","2010-05-01 04:00","21.5","1.4","350","11.2","230","2010-05-23 12:32","145.3","36.8","10","15.0","2010-05-23 11:01","50.5","2010-05-23 10:40","105.6","2010-05-23 00:00","75","108.2","153.5","522.22","...","...","...","6.7","taichung"
"06","998.8","1008.6","1002.6","2010-06-22 22:14","992.7","2010-06-25 04:29","27.1","34.3","2010-06-27 12:25","21.0","2010-06-03 00:17","22.8","1.4","190","11.5","240","2010-06-23 13:35","529.9","104.2","17","20.0","2010-06-21 17:10","39.8","2010-06-13 08:20","117.6","2010-06-14 00:00","78","90.6","108.4","424.09","...","...","...","7.9","taichung"
"07","999.5","1009.2","1003.8","2010-07-21 19:27","994.3","2010-07-18 11:52","29.2","35.9","2010-07-18 12:31","23.8","2010-07-21 19:11","23.9","1.7","200","14.3","180","2010-07-21 18:52","463.5","60.2","16","13.0","2010-07-26 18:06","51.0","2010-07-26 17:53","125.5","2010-07-27 00:00","74","114.6","179.7","535.27","7","10","2010-07-15 12:00","6.5","taichung"
"08","998.9","1008.6","1005.5","2010-08-19 08:12","989.4","2010-08-08 16:45","28.9","35.6","2010-08-10 12:55","23.4","2010-08-26 05:18","24.2","1.1","210","12.9","180","2010-08-25 16:34","203.5","45.5","20","13.5","2010-08-25 16:26","34.0","2010-08-25 16:18","55.5","2010-08-25 00:00","77","110.0","155.9","502.52","...","...","...","6.2","taichung"
"09","999.4","1009.2","1006.0","2010-09-21 20:09","975.9","2010-09-19 14:56","28.1","34.6","2010-09-08 13:10","23.3","2010-09-21 05:57","23.6","1.3","360","25.5","10","2010-09-19 09:32","328.6","47.2","15","19.5","2010-09-11 16:02","46.0","2010-09-11 15:27","66.0","2010-09-19 00:00","77","95.2","163.8","454.61","...","...","...","5.6","taichung"
"10","1001.7","1011.5","1011.0","2010-10-31 08:21","989.2","2010-10-22 12:32","25.9","33.2","2010-10-02 12:32","17.2","2010-10-31 06:17","20.3","1.8","30","15.4","40","2010-10-27 15:29","2.1","5.7","3","0.3","2010-10-19 06:20","0.5","2010-10-21 09:00","1.3","2010-10-21 00:00","72","107.9","165.2","442.96","...","...","...","5.6","taichung"
"11","1005.8","1015.8","1010.5","2010-11-10 08:47","998.3","2010-11-22 13:32","21.8","28.4","2010-11-08 11:50","15.7","2010-11-26 06:04","16.1","1.4","10","13.1","40","2010-11-25 12:48","20.7","38.5","7","0.5","2010-11-04 16:57","1.8","2010-11-13 10:50","13.4","2010-11-13 00:00","71","77.9","181.5","373.27","...","...","...","5.4","taichung"
"12","1005.5","1015.6","1011.0","2010-12-19 08:13","1000.0","2010-12-13 13:43","18.1","28.7","2010-12-06 12:24","7.5","2010-12-27 05:10","11.5","1.4","30","17.5","30","2010-12-16 02:45","27.4","24.1","3","1.5","2010-12-16 09:29","3.5","2010-12-16 05:56","20.9","2010-12-16 00:00","67","68.9","201.3","355.43","...","...","...","4.2","taichung"
"01","1009.7","1020.0","1016.4","2011-01-30 09:16","1003.7","2011-01-14 16:25","14.9","23.3","2011-01-27 11:44","7.9","2011-01-01 06:59","10.3","2.1","10","15.4","40","2011-01-15 12:10","35.4","39.2","5","3.5","2011-01-05 01:40","5.0","2011-01-05 01:38","15.7","2011-01-12 00:00","74","62.4","129.1","330.71","...","...","...","6.9","taichung"
"02","1006.5","1016.6","1013.2","2011-02-01 08:49","997.1","2011-02-08 15:25","17.2","27.8","2011-02-28 12:50","10.3","2011-02-14 18:42","12.3","1.4","10","14.1","30","2011-02-13 19:33","27.6","35.6","8","1.0","2011-02-20 05:34","3.7","2011-02-13 20:16","9.2","2011-02-20 00:00","74","67.7","162.4","379.65","...","...","...","5.3","taichung"
"03","1008.0","1018.1","1013.0","2011-03-26 09:58","999.6","2011-03-20 15:45","18.2","30.5","2011-03-20 12:44","11.6","2011-03-28 04:30","12.3","1.5","10","12.1","330","2011-03-22 11:08","33.2","45.6","8","2.0","2011-03-07 06:19","4.4","2011-03-07 05:59","14.3","2011-03-27 00:00","69","86.9","109.6","391.83","...","...","...","7.7","taichung"
"04","1004.0","1014.0","1011.0","2011-04-09 08:19","996.1","2011-04-27 15:13","23.1","33.1","2011-04-27 13:10","15.3","2011-04-05 00:01","15.7","1.3","350","10.0","30","2011-04-19 15:54","5.1","10.0","5","0.5","2011-04-29 21:42","1.3","2011-04-29 21:14","2.0","2011-04-29 00:00","64","102.3","150.6","480.97","...","...","...","6.0","taichung"
"05","999.7","1009.5","1006.3","2011-05-15 10:13","988.0","2011-05-28 04:19","26.0","35.6","2011-05-12 12:05","20.1","2011-05-17 05:49","20.8","1.2","330","16.4","200","2011-05-23 15:00","95.0","56.0","16","9.0","2011-05-22 16:45","15.0","2011-05-22 16:35","24.2","2011-05-22 00:00","74","101.5","118.8","473.13","...","...","...","7.4","taichung"
"06","997.3","1007.0","1002.7","2011-06-30 21:54","983.7","2011-06-24 17:32","29.1","35.7","2011-06-15 13:18","23.1","2011-06-02 06:30","23.0","1.5","190","12.5","200","2011-06-11 15:29","151.3","49.6","11","7.5","2011-06-27 15:35","29.5","2011-06-27 15:18","66.5","2011-06-27 00:00","71","121.2","182.8","565.84","...","...","...","6.2","taichung"
"07","996.3","1005.9","1002.6","2011-07-01 07:05","987.5","2011-07-18 18:38","28.8","35.3","2011-07-28 14:09","23.7","2011-07-14 04:04","23.4","1.3","200","12.1","260","2011-07-16 13:25","300.6","49.6","13","13.0","2011-07-13 16:36","43.5","2011-07-13 16:20","51.5","2011-07-13 00:00","73","121.8","188.5","573.82","...","...","...","6.5","taichung"
"08","996.3","1006.0","1004.1","2011-08-15 09:33","978.4","2011-08-29 05:48","29.1","35.1","2011-08-26 13:35","23.9","2011-08-08 18:32","23.4","1.2","200","12.7","200","2011-08-30 11:26","256.3","47.0","12","29.0","2011-08-09 16:13","66.8","2011-08-09 16:05","98.9","2011-08-08 00:00","72","107.2","169.6","490.35","...","...","...","6.3","taichung"
"09","998.6","1008.3","1003.4","2011-09-10 09:32","991.7","2011-09-27 15:33","28.1","34.3","2011-09-04 13:47","22.6","2011-09-23 05:25","22.0","1.1","340","11.9","170","2011-09-01 16:28","99.3","14.4","9","10.5","2011-09-12 16:34","26.0","2011-09-12 16:32","54.5","2011-09-12 00:00","70","111.2","172.6","489.87","...","...","...","5.1","taichung"
"10","1003.2","1013.0","1008.0","2011-10-27 09:08","996.2","2011-10-02 05:32","26.0","32.8","2011-10-01 12:49","20.3","2011-10-28 05:25","20.0","1.5","30","10.3","330","2011-10-25 15:57","13.3","20.0","5","1.0","2011-10-03 05:32","2.2","2011-10-03 05:01","6.6","2011-10-03 00:00","70","108.1","188.6","457.46","...","...","...","5.2","taichung"
"11","1004.7","1014.6","1012.1","2011-11-21 08:23","996.2","2011-11-10 03:01","23.8","32.5","2011-11-04 12:01","17.5","2011-11-25 03:54","19.5","1.2","10","10.4","350","2011-11-15 15:59","150.7","78.2","10","7.5","2011-11-10 19:18","13.5","2011-11-10 19:00","63.9","2011-11-10 00:00","78","67.3","130.1","330.49","...","...","...","7.0","taichung"
"12","1008.7","1018.8","1015.2","2011-12-26 09:01","1001.4","2011-12-01 13:46","17.8","27.5","2011-12-06 13:38","9.6","2011-12-25 01:50","12.7","2.0","10","11.4","360","2011-12-16 09:44","37.1","24.7","7","1.6","2011-12-05 11:06","8.0","2011-12-05 11:05","30.9","2011-12-05 00:00","72","64.6","139.4","347.67","...","...","...","6.5","taichung"
"01","1008.0","1018.2","1015.0","2012-01-04 09:31","997.5","2012-01-15 15:47","16.6","25.9","2012-01-18 13:57","10.8","2012-01-04 18:21","11.9","1.7","350","10.9","360","2012-01-01 14:07","57.1","60.0","10","1.7","2012-01-24 06:55","3.2","2012-01-16 01:57","14.0","2012-01-16 00:00","75","56.7","142.9","365.30","...","...","...","6.5","taichung"
"02","1006.4","1016.6","1012.8","2012-02-03 10:09","998.0","2012-02-23 15:14","16.7","28.6","2012-02-23 11:47","10.1","2012-02-09 00:32","12.2","1.6","330","12.6","340","2012-02-28 09:40","77.2","57.8","10","5.5","2012-02-07 03:52","8.7","2012-02-07 03:45","17.6","2012-02-28 00:00","75","55.1","104.1","332.78","...","...","...","7.7","taichung"
"03","1005.5","1015.5","1012.6","2012-03-27 09:39","997.7","2012-03-06 15:48","19.8","32.2","2012-03-23 13:02","12.0","2012-03-10 06:27","14.9","1.4","340","13.6","360","2012-03-24 00:24","40.8","31.4","5","2.4","2012-03-10 10:25","5.8","2012-03-10 10:23","11.9","2012-03-12 00:00","75","87.9","165.7","493.19","...","...","...","6.1","taichung"
"04","1002.2","1012.0","1009.4","2012-04-01 09:46","996.5","2012-04-24 14:49","24.6","33.7","2012-04-24 12:29","17.2","2012-04-01 04:15","19.8","1.2","200","13.9","190","2012-04-24 15:32","234.6","54.4","17","16.5","2012-04-26 05:55","30.5","2012-04-26 05:35","57.2","2012-04-30 00:00","75","78.0","88.7","411.94","...","...","...","7.8","taichung"
"05","998.4","1008.2","1003.1","2012-05-18 21:41","994.3","2012-05-20 16:34","26.9","33.8","2012-05-15 12:19","21.6","2012-05-05 03:07","21.5","1.3","190","14.6","220","2012-05-16 12:21","267.9","62.1","14","14.0","2012-05-17 13:28","34.4","2012-05-29 16:47","87.2","2012-05-18 00:00","74","116.7","170.3","584.29","...","...","...","6.1","taichung"
"06","994.4","1004.1","1001.7","2012-06-30 22:48","985.4","2012-06-20 16:37","27.8","34.4","2012-06-08 13:01","23.1","2012-06-21 03:02","23.6","1.5","190","17.7","140","2012-06-20 19:44","331.6","91.8","18","10.0","2012-06-09 17:25","18.2","2012-06-12 10:10","70.1","2012-06-12 00:00","79","109.2","134.1","495.77","...","...","...","7.3","taichung"
"07","996.1","1005.8","1002.4","2012-07-01 23:13","980.2","2012-07-31 16:35","29.1","34.9","2012-07-23 13:25","24.0","2012-07-21 18:20","23.6","1.5","200","13.2","210","2012-07-21 17:29","215.6","40.1","14","14.3","2012-07-26 17:28","42.5","2012-07-26 17:17","64.4","2012-07-26 00:00","73","130.0","204.2","628.64","...","...","...","6.1","taichung"
"08","993.3","1002.9","1002.0","2012-08-17 22:16","974.3","2012-08-02 02:13","28.0","35.1","2012-08-23 13:39","23.5","2012-08-20 18:38","23.5","1.4","190","22.0","40","2012-08-01 21:03","726.2","75.7","21","23.5","2012-08-17 15:08","70.0","2012-08-25 13:51","465.2","2012-08-02 00:00","77","94.6","96.4","443.15","...","...","...","7.8","taichung"
"09","999.8","1009.5","1004.9","2012-09-07 09:21","991.6","2012-09-28 13:39","27.6","34.5","2012-09-27 15:02","20.8","2012-09-17 05:54","21.2","1.4","10","20.5","40","2012-09-28 22:58","34.2","8.9","5","7.0","2012-09-02 17:59","22.5","2012-09-02 17:30","28.1","2012-09-02 00:00","69","125.1","190.1","552.90","...","...","...","5.5","taichung"
"10","1003.5","1013.3","1009.4","2012-10-20 09:39","997.2","2012-10-03 15:02","24.9","31.9","2012-10-26 11:53","19.1","2012-10-23 05:20","17.2","1.6","10","13.4","30","2012-10-17 13:57","1.4","4.4","3","0.2","2012-10-31 06:25","0.3","2012-10-31 06:25","0.8","2012-10-31 00:00","64","118.7","222.9","528.75","...","...","...","3.9","taichung"
"11","1005.4","1015.4","1009.6","2012-11-16 08:23","999.9","2012-11-22 14:11","22.3","32.2","2012-11-10 12:07","14.2","2012-11-27 02:47","16.6","1.1","360","10.3","20","2012-11-11 03:38","144.8","92.0","11","7.0","2012-11-23 11:05","17.5","2012-11-23 10:30","33.0","2012-11-23 00:00","71","58.7","132.6","321.79","...","...","...","6.7","taichung"
"12","1007.3","1017.5","1014.1","2012-12-23 10:53","1001.7","2012-12-02 14:00","18.4","28.3","2012-12-16 12:33","9.0","2012-12-31 04:06","13.2","1.4","350","13.5","10","2012-12-30 14:14","71.1","62.3","13","3.0","2012-12-30 01:37","6.5","2012-12-05 03:24","25.8","2012-12-05 00:00","73","54.7","143.6","326.58","...","...","...","6.1","taichung"
"01","1009.1","1019.3","1016.6","2013-01-18 08:48","1001.1","2013-01-13 14:09","16.9","26.5","2013-01-22 13:54","10.4","2013-01-15 05:15","12.2","1.7","10","14.7","10","2013-01-17 14:32","11.2","20.6","8","0.7","2013-01-03 04:45","2.7","2013-01-13 05:13","5.1","2013-01-13 00:00","74","62.4","184.2","401.68","...","...","...","5.1","taichung"
"02","1007.9","1018.0","1013.2","2013-02-23 09:34","1001.1","2013-02-18 14:57","19.4","29.3","2013-02-17 14:05","13.9","2013-02-01 04:15","14.5","1.6","340","13.1","350","2013-02-22 14:13","1.2","2.3","2","0.4","2013-02-03 10:40","0.8","2013-02-03 10:10","1.1","2013-02-03 00:00","74","75.8","174.7","449.19","...","...","...","5.9","taichung"
"03","1005.6","1015.6","1013.3","2013-03-05 08:20","997.7","2013-03-24 03:32","21.0","30.0","2013-03-23 12:22","11.6","2013-03-04 00:58","15.4","1.4","350","11.4","330","2013-03-26 19:16","62.7","26.6","14","7.5","2013-03-18 05:27","16.4","2013-03-18 05:01","18.7","2013-03-28 00:00","72","91.0","175.5","496.47","...","...","...","5.7","taichung"
"04","1002.5","1012.4","1009.4","2013-04-12 09:56","992.7","2013-04-06 00:56","22.2","31.2","2013-04-30 12:27","14.8","2013-04-07 06:04","18.1","1.1","320","11.9","30","2013-04-06 19:57","258.6","125.8","21","8.5","2013-04-05 10:15","17.0","2013-04-05 22:17","98.8","2013-04-05 00:00","79","70.6","69.5","330.73","...","...","...","8.6","taichung"
"05","999.8","1009.6","1005.5","2013-05-04 22:19","995.0","2013-05-20 17:19","26.4","34.1","2013-05-31 11:48","19.1","2013-05-01 10:21","21.6","1.2","210","12.0","180","2013-05-22 14:59","356.4","76.8","18","17.5","2013-05-17 02:26","35.0","2013-05-17 02:23","73.8","2013-05-17 00:00","75","89.3","111.1","474.68","...","...","...","7.6","taichung"
"06","997.4","1007.1","1003.3","2013-06-05 12:23","990.7","2013-06-19 14:07","28.8","34.6","2013-06-21 11:31","24.2","2013-06-04 19:29","23.1","1.4","200","13.8","230","2013-06-24 14:00","72.6","25.6","14","7.5","2013-06-10 09:12","13.5","2013-06-10 08:40","17.8","2013-06-12 00:00","72","115.8","153.4","556.28","...","...","...","6.3","taichung"
"07","998.9","1008.6","1004.1","2013-07-07 17:58","974.6","2013-07-13 05:35","28.1","35.1","2013-07-05 12:21","22.6","2013-07-31 18:15","22.9","1.3","350","25.2","230","2013-07-13 07:48","467.7","70.0","21","14.5","2013-07-13 07:03","54.5","2013-07-13 07:00","280.3","2013-07-13 00:00","74","125.7","193.7","611.90","...","...","...","6.4","taichung"
"08","996.6","1006.2","1004.9","2013-08-03 20:47","977.2","2013-08-21 18:26","28.2","34.7","2013-08-09 13:24","22.2","2013-08-30 01:39","23.5","1.2","240","13.7","330","2013-08-21 16:18","763.0","119.7","14","23.0","2013-08-14 16:01","62.0","2013-08-14 15:48","151.9","2013-08-29 00:00","77","101.3","151.5","507.28","...","...","...","6.6","taichung"
"09","998.4","1008.1","1004.3","2013-09-08 08:03","977.6","2013-09-21 14:28","27.8","34.0","2013-09-20 15:06","20.6","2013-09-02 04:15","22.3","1.2","340","10.3","320","2013-09-15 16:30","44.9","15.2","6","7.5","2013-09-12 17:00","13.0","2013-09-12 16:50","21.3","2013-09-01 00:00","73","118.8","169.0","495.89","...","...","...","5.9","taichung"
"10","1002.3","1012.2","1010.3","2013-10-28 07:55","991.2","2013-10-07 03:01","24.9","33.7","2013-10-07 13:21","16.2","2013-10-27 05:55","17.8","1.8","10","15.0","30","2013-10-05 20:22","2.7","15.9","1","0.3","2013-10-06 02:27","0.7","2013-10-06 02:15","2.7","2013-10-06 00:00","65","131.4","242.3","533.95","...","...","...","3.8","taichung"
