"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1021.1","1021.9","1030.5","2014-01-18 21:07","1011.3","2014-01-03 14:19","16.8","26.8","2014-01-30 13:57","10.3","2014-01-22 03:46","9.3","2.3","80","14.5","110","2014-01-19 13:12","21.8","49.8","5","2.5","2014-01-08 13:04","4.5","2014-01-08 12:55","11.5","2014-01-14 00:00","62","61.9","144.5","313.17","...","...","...","5.3"
"02","1017.7","1018.5","1028.7","2014-02-20 21:25","1007.0","2014-02-02 15:22","16.5","27.5","2014-02-28 12:57","7.8","2014-02-11 02:33","11.1","2.0","80","13.8","80","2014-02-21 16:52","198.0","199.1","14","2.5","2014-02-09 12:35","6.5","2014-02-09 03:25","84.5","2014-02-09 00:00","71","41.4","81.2","243.95","...","...","...","7.5"
"03","1017.5","1018.3","1025.6","2014-03-14 20:54","1005.5","2014-03-29 14:27","18.9","32.3","2014-03-28 11:46","11.8","2014-03-21 06:28","13.6","2.3","80","14.1","100","2014-03-10 11:57","147.0","131.2","14","7.0","2014-03-29 19:58","18.0","2014-03-13 04:01","21.5","2014-03-13 00:00","72","76.6","66.9","286.31","...","...","...","7.8"
"04","1013.4","1014.2","1020.7","2014-04-06 07:48","1007.7","2014-04-12 15:32","22.5","33.3","2014-04-18 11:59","16.7","2014-04-05 05:56","18.0","2.4","80","14.4","70","2014-04-06 14:36","98.1","80.4","12","8.5","2014-04-26 16:39","17.5","2014-04-26 16:11","35.0","2014-04-26 00:00","77","80.7","99.5","388.88","...","...","...","7.0"
"05","1009.6","1010.4","1019.8","2014-05-05 21:35","999.9","2014-05-14 16:02","25.2","35.6","2014-05-14 11:21","15.1","2014-05-06 02:11","21.4","1.7","80","17.4","280","2014-05-14 13:58","634.7","174.2","21","16.0","2014-05-20 20:46","71.0","2014-05-20 22:46","242.0","2014-05-21 00:00","81","54.0","45.9","320.54","...","...","...","8.4"
"06","1004.0","1004.7","1010.1","2014-06-30 21:41","998.7","2014-06-10 03:12","28.0","36.3","2014-06-17 14:21","23.1","2014-06-06 05:38","23.3","1.7","80","14.2","270","2014-06-17 10:37","384.4","96.4","20","19.0","2014-06-29 23:28","36.0","2014-06-06 00:46","79.5","2014-06-06 00:00","76","76.7","57.4","363.11","...","...","...","7.8"
"07","1004.5","1005.2","1011.3","2014-07-26 07:51","987.7","2014-07-23 03:41","30.5","37.8","2014-07-13 12:15","24.4","2014-07-26 04:02","23.9","2.1","70","26.5","90","2014-07-23 06:31","222.1","55.4","9","17.0","2014-07-31 05:03","33.0","2014-07-31 04:28","54.5","2014-07-25 00:00","68","137.4","178.3","609.31","...","...","...","5.1"
"08","1006.1","1006.8","1013.8","2014-08-28 00:45","994.2","2014-08-01 15:02","30.2","37.7","2014-08-02 13:10","24.7","2014-08-19 16:50","23.5","1.6","150","13.1","290","2014-08-01 10:50","84.0","22.0","10","9.0","2014-08-13 13:57","27.0","2014-08-13 13:24","33.5","2014-08-13 00:00","68","125.4","171.3","548.35","...","...","...","5.6"
"09","1007.8","1008.5","1014.4","2014-09-27 08:11","995.9","2014-09-21 14:26","29.7","37.8","2014-09-16 13:15","23.7","2014-09-29 05:37","23.7","2.5","80","20.2","90","2014-09-15 11:43","198.9","37.4","7","11.0","2014-09-22 04:42","44.5","2014-09-22 04:08","97.5","2014-09-22 00:00","71","136.4","201.9","547.36","...","...","...","5.4"
"10","1013.9","1015.3","1021.0","2014-10-16 08:44","1006.7","2014-10-10 14:28","24.7","33.7","2014-10-21 13:14","17.5","2014-10-16 04:57","19.0","2.7","80","14.7","80","2014-10-27 11:51","25.5","49.0","6","3.0","2014-10-09 07:18","6.0","2014-10-09 06:56","11.0","2014-10-09 00:00","71","85.2","125.3","382.67","...","...","...","5.8"
"11","1014.3","1017.9","1021.3","2014-11-18 20:43","1007.2","2014-11-30 14:42","22.3","31.6","2014-11-29 13:41","16.8","2014-11-18 01:15","17.5","2.5","80","12.9","70","2014-11-26 15:12","46.0","81.6","8","2.0","2014-11-09 09:06","5.0","2014-11-09 08:40","14.0","2014-11-13 00:00","75","53.8","99.3","263.07","4","7","2014-11-01 12:00","6.7"
"12","1019.5","1023.2","1028.6","2014-12-17 09:08","1011.0","2014-12-03 18:09","16.5","24.9","2014-12-03 11:11","11.0","2014-12-17 16:23","10.9","2.8","80","15.9","90","2014-12-06 13:19","86.8","153.1","14","3.5","2014-12-04 02:02","9.5","2014-12-04 01:39","27.0","2014-12-04 00:00","70","49.3","60.5","185.07","...","...","...","7.9"
